メッシュ名,メッシュ名略号,調査番号,調査日,階層,高さ,被度（％）,種名,学名,メッシュの主な所在地,環ＲＤＢ,ＮＲＤＢ,茨ＲＤＢ,群ＲＤＢ,埼ＲＤＢ,千ＲＤＢ,群馬県目録,栃木県目録,茨城県目録,埼玉県目録
54396655宇都宮,宇都宮55,1,2002年 7月29日,草本層,2.5,100,オオブタクサ,Ambrosia trifida Linn.,栃木県,,,,,,,○,○,○,
54396655宇都宮,宇都宮55,1,2002年 7月29日,草本層,0.2,0.05,ヒメアシボソ,Microstegium vimineum (Trin.) A. Camus,栃木県,,,,,,,,○,○,○
54396655宇都宮,宇都宮55,1,2002年 7月29日,草本層,0.2,0.05,ヒメジョオン,Stenactis annuus (Linn.) Cass.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,2,2002年 7月29日,草本層,2.6,100,オオブタクサ,Ambrosia trifida Linn.,栃木県,,,,,,,○,○,○,
54396655宇都宮,宇都宮55,2,2002年 7月29日,草本層,0.2,0.2,ヒメアシボソ,Microstegium vimineum (Trin.) A. Camus,栃木県,,,,,,,,○,○,○
54396655宇都宮,宇都宮55,2,2002年 7月29日,草本層,0.3,0.1,スギナ,Equisetum arvense Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,3,2002年 7月29日,草本層,1.4,85,セイタカアワダチソウ,Solidago altissima Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,3,2002年 7月29日,草本層,0.5,30,カキドオシ,Glechoma hederacea Linn. var. grandis (A. Gray) Kudo,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,3,2002年 7月29日,草本層,0.7,1,カモジグサ,Agropyron tsukushiense (Honda) Ohwi var. transiens (Hack.) Ohwi,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,3,2002年 7月29日,草本層,0.8,2,セリ,Oenanthe javanica (Blume) DC.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,3,2002年 7月29日,草本層,1.1,5,ヨモギ,Artemisia princeps Pampan.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,4,2002年 7月29日,草本層,0.7,80,イヌゴマ,Stachys riederi Cham. var. intermedia (Kudo) Kitam.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,4,2002年 7月29日,草本層,0.9,1,オオイヌタデ,Persicaria lapathifolia (Linn.) S. F. Gray,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,4,2002年 7月29日,草本層,0.8,8,クサヨシ,Phalaris arundinacea Linn.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,4,2002年 7月29日,草本層,0.8,2,ツルマメ,Glycine max (Linn.) Merrill zubsp. soja (Sieb. et Zucc.) Ohashi,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,4,2002年 7月29日,草本層,0.4,5,セリ,Oenanthe javanica (Blume) DC.,栃木県,,,,,,,○,○,○,○
54396655宇都宮,宇都宮55,4,2002年 7月29日,草本層,0.35,1,ミゾソバ,Persicaria thunbergii (Sieb. et Zucc.) H. Gross,栃木県,,,,,,,○,○,○,○
