"FID_","id","mesh","緯度","経度","３次_メッシュ_コード","３次メッシュコード略号","調査_地点名","調査_年月日","天_候","方位","傾斜","面積_（ｍ×ｍ）","備考","年の位置情報も提出する地点とその状況"
,"T08-S2","54400108",36.003740,140.224030,54400108.000000,"土浦08","T08-S2",2007/07/30 0:00:00,"曇","S80W","20","1×1","",""
,"T08-A1","54400108",36.003460,140.223510,54400108.000000,"土浦08","T08-A1",2007/07/30 0:00:00,"曇","N25W","16","1×1","",""
,"T08-S1","54400108",36.005200,140.222900,54400108.000000,"土浦08","T08-S1",2007/07/30 0:00:00,"曇","S70W","33","1×1","アズマネザサの枯れ枝が多い。",""
,"T08-A5","54400108",36.006950,140.222020,54400108.000000,"土浦08","T08-A5",2007/07/30 0:00:00,"曇","－","0","1×1","",""
,"T08-A2","54400108",36.003600,140.223770,54400108.000000,"土浦08","T08-A2",2007/08/05 0:00:00,"晴","N20W","13","1×1","",""
,"T08-A3","54400108",36.007210,140.222600,54400108.000000,"土浦08","T08-A3",2007/08/05 0:00:00,"晴","－","0","1×1","",""
,"T08-A4","54400108",36.006670,140.222280,54400108.000000,"土浦08","T08-A4",2007/08/05 0:00:00,"晴","－","0","1×1","",""
,"T08-12","54400108",36.007140,140.220590,54400108.000000,"土浦08","T08-12",2007/08/05 0:00:00,"晴","－","0","1×1","",""
,"T08-J2","54400108",36.005880,140.231270,54400108.000000,"土浦08","T08-J2",2007/08/05 0:00:00,"晴","－","0","10×10","管理されているらしい。",""
,"T08-J1","54400108",36.008340,140.224850,54400108.000000,"土浦08","T08-J1",2007/08/05 0:00:00,"晴","－","0","10×10","",""
,"T08-11","54400108",36.007080,140.220550,54400108.000000,"土浦08","T08-11",2007/08/05 0:00:00,"晴","－","0","1×1","",""
,"T08-10","54400108",36.007110,140.220700,54400108.000000,"土浦08","T08-10",2007/08/05 0:00:00,"曇","－","0","1×1","",""
,"T08-13","54400108",36.002000,140.226910,54400108.000000,"土浦08","T08-13",2007/08/05 0:00:00,"晴","－","0","1×1","復田した。",""
,"T08-14","54400108",36.001910,140.226890,54400108.000000,"土浦08","T08-14",2007/08/05 0:00:00,"晴","－","0","1×1","復田した。",""
,"T08-15","54400108",36.001580,140.226830,54400108.000000,"土浦08","T08-15",2007/08/05 0:00:00,"晴","－","0","1×1","復田した。",""
,"T08-16","54400108",36.001080,140.228470,54400108.000000,"土浦08","T08-16",2007/08/05 0:00:00,"晴","－","0","1×1","",""
,"T08-17","54400108",36.000920,140.228390,54400108.000000,"土浦08","T08-17",2007/08/05 0:00:00,"晴","－","0","1×1","",""
,"T08-18","54400108",36.000950,140.228480,54400108.000000,"土浦08","T08-18",2007/08/05 0:00:00,"晴","－","0","1×1","",""
,"T08-01","54400108",36.017230,140.232360,54400108.000000,"土浦08","T08-01",2007/08/06 0:00:00,"晴","－","0","1×1","03年の調査写真を参考に地点を設定した。",""
,"T08-02","54400108",36.017350,140.232230,54400108.000000,"土浦08","T08-02",2007/08/06 0:00:00,"晴","－","0","1×1","",""
,"T08-06","54400108",36.017120,140.231100,54400108.000000,"土浦08","T08-06",2007/08/06 0:00:00,"晴","－","0","1×1","セイタカアワダチソウが増加。",""
,"T08-04","54400108",36.017190,140.231600,54400108.000000,"土浦08","T08-04",2007/08/06 0:00:00,"晴","－","0","1×1","",""
,"T08-05","54400108",36.017150,140.231460,54400108.000000,"土浦08","T08-05",2007/08/06 0:00:00,"晴","－","0","1×1","乾燥化したのか、植生が変わっている。周りにヒメガマが僅かにあったが、他植生との位置関係に問題があるので、そこでは調査は行わなかった。",""
,"T08-03","54400108",36.017280,140.231830,54400108.000000,"土浦08","T08-03",2007/08/06 0:00:00,"晴","－","0","1×1","",""
,"T08-S3","54400108",36.012050,140.231960,54400108.000000,"土浦08","T08-S3",2007/08/06 0:00:00,"晴","S70E","35","1×1","斜面下部。調査地点がずれている可能性有り。",""
,"T08-07","54400108",36.014230,140.229760,54400108.000000,"土浦08","T08-07",2007/08/06 0:00:00,"晴","－","0","1×1","",""
,"T08-08","54400108",36.014080,140.229380,54400108.000000,"土浦08","T08-08",2007/08/06 0:00:00,"晴","－","0","1×1","",""
,"T08-09","54400108",36.014040,140.229690,54400108.000000,"土浦08","T08-09",2007/08/06 0:00:00,"晴","－","0","1×1","",""
,"T08-H1","54400108",36.004920,140.221310,54400108.000000,"土浦08","T08-H1",2007/08/06 0:00:00,"晴","－","0","1×1","除草剤の影響により植物が枯れていた。",""
,"T08-H2","54400108",36.004850,140.221430,54400108.000000,"土浦08","T08-H2",2007/08/06 0:00:00,"晴","－","0","1×1","苔類有り。",""
,"T08-H3","54400108",36.004770,140.221100,54400108.000000,"土浦08","T08-H3",2007/08/06 0:00:00,"晴","－","0","1×1","放棄3年目？",""
,"T08-H4","54400108",36.004710,140.220950,54400108.000000,"土浦08","T08-H4",2007/08/06 0:00:00,"晴","－","0","1×1","東隣の筆との境界から1m、南側の道から0.5m入った箇所に設定。",""
,"T08-H5","54400108",36.004590,140.220570,54400108.000000,"土浦08","T08-H5",2007/08/06 0:00:00,"晴","－","0","1×1","",""
,"T08-H6","54400108",36.004550,140.220460,54400108.000000,"土浦08","T08-H6",2007/08/06 0:00:00,"晴","－","0","1×1","",""
,"T08-G1","54400108",36.004470,140.220450,54400108.000000,"土浦08","T08-G1",2007/08/06 0:00:00,"晴","－","0","1×1","",""
,"T08-G2","54400108",36.004450,140.220380,54400108.000000,"土浦08","T08-G2",2007/08/06 0:00:00,"晴","－","0","1×1","林の縁から5m下に寄ったところ。調査時（15:00）は日陰。",""
,"T08-H7","54400108",36.005090,140.220470,54400108.000000,"土浦08","T08-H7",2007/08/06 0:00:00,"晴","－","0","1×1","東隣のクリ畑との境界から1m、北側の現役畑との境界から1m入った箇所に設定。",""
,"T08-H8","54400108",36.005230,140.220390,54400108.000000,"土浦08","T08-H8",2007/08/06 0:00:00,"晴","－","0","1×1","東隣のクリ畑との境界から1m、南側の道から1m入った箇所に設定。",""
,"H96-H7","54384796",36.416180,138.957480,54384796.000000,"榛名山96","H96-H7",2007/08/21 0:00:00,"晴","－","－","1×1","",""
,"H96-G3","54384796",36.415370,138.956940,54384796.000000,"榛名山96","H96-G3",2007/08/21 0:00:00,"晴","－","－","1×1","",""
